libplist 2.2.0-6.1
libpng 1.6.39-1.1
libportal 0.6-1.1
libportal-gtk3 0.6-1.1
libproxy 0.4.18-2.1
libpsl 0.21.2-1.1
libpulse 16.1-6.1
libqalculate 4.6.0-1.1
libqmi 1.32.4-1.1
libqrtr-glib 1.2.2-2.1
libqxp 0.0.2-9.1
libraqm 0.10.0-1.1
libraw1394 2.1.2-3.1
libreoffice-fresh 7.5.1-1.1
librevenge 0.0.5-2.1
librsvg 2:2.56.0-1.1
librsync 1:2.3.4-1.1
libsamplerate 0.2.2-2.1
libsasl 2.1.28-4.1
libseccomp 2.5.4-1.1
libsecret 0.20.5-2.1
libsidplay 1.36.59-10.1
libsigc++ 2.12.0-1.1
libsigc++-3.0 3.4.0-1.1
libsm 1.2.4-1.1
libsndfile 1.2.0-1.1
libsodium 1.0.18-3.1
libsoup 2.74.3-1.1
libsoup3 3.4.0-1.1
libsoxr 0.1.3-3.1
libsrtp 1:2.5.0-1.1
libssh 0.10.4-3.1
libssh2 1.10.0-3.1
libstaroffice 0.0.7-2.1
libstemmer 2.2.0-2.1
libsysprof-capture 3.48.0-1.1
libtasn1 4.19.0-1.1
libteam 1.31-7.1
libthai 0.1.29-2.1
libtheora 1.1.1-5.1
libtiff 4.5.0-3
libtirpc 1.3.3-2.1
libtommath 1.2.0-3.1
libtool 2.4.7+4+g1ec8fa28-3
libtraceevent 1:1.7.1-1.1
libtracefs 1.6.4-2.1
libunistring 1.1-2.1
libunwind 1.6.2-2.1
liburcu 0.14.0-1.1
liburing 2.3-1.1
libusb 1.0.26-2.1
libusbmuxd 2.0.2-1.1
libuv 1.44.2-1.1
libva 2.17.0-1.1
libva-intel-driver 2.4.1-2.1
libva-mesa-driver 23.0.1-2
libva-vdpau-driver 0.7.4-6.1
libvdpau 1.5-1.1
libvdpau-va-gl 0.4.2-3.1
libverto 0.3.2-4.1
libvisio 0.1.7-8.1
libvorbis 1.3.7-3.1
libvpx 1.13.0-1.1
